"2024-05-21","Improved Edit view, now checks if file exists",
"2024-05-21","Added MenuComponente",
"2024-05-19","Minnor fixes",
"2024-05-19","Create README.md",
"2024-05-18","Improved procesing algorithm for CEs",
"2024-05-18","Improved EditView. Added confirmation before exit",
"2024-05-18","Working on editing logic",
"2024-05-17","I just spent 5 hours to open a document on a specific page",
"2024-05-17","Delete Noodle/Noodle/bin/Debug/net6.0-windows directory",
"2024-05-17","Update .gitignore",
"2024-05-16","Working on EdicionCompenteciaView",
"2024-05-16","More",
"2024-05-15","Improved import and export UI:",
"2024-05-15","Improved import screen",
"2024-05-14","First iteration of exporting working 100%",
"2024-05-13","Finished first iteration",
"2024-05-13","Improved processing file action",
"2024-05-12","First iteration of exporting action",
"2024-05-12","Working on export action",
"2024-05-09","Working on editing interface",
"2024-05-09","Extraction badly working",
"2024-05-08","Working on a processing algorithm",
"2024-05-06","Setting up",
"2024-05-06","Create .gitignore",
"2024-05-02","First commit",
"2024-05-02","Initial commit",
